Contributor,Arms,Times,Volume,Experiment,Study,ID,Tumor,Disease_Type,Body_Weight,Matched_Controls
Synthetic_Set_1,Treatment_A,0,215.342,EXP,EXP_1,Model1_101,Model1,Synthetic Models,15.23,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,4,298.567,EXP,EXP_1,Model1_101,Model1,Synthetic Models,15.01,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,8,356.421,EXP,EXP_1,Model1_101,Model1,Synthetic Models,14.78,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,12,389.234,EXP,EXP_1,Model1_101,Model1,Synthetic Models,14.92,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,15,421.567,EXP,EXP_1,Model1_101,Model1,Synthetic Models,15.11,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,18,498.342,EXP,EXP_1,Model1_101,Model1,Synthetic Models,15.03,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,21,567.891,EXP,EXP_1,Model1_101,Model1,Synthetic Models,14.87,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,25,712.456,EXP,EXP_1,Model1_101,Model1,Synthetic Models,14.93,Treatment_A_Control_1
Synthetic_Set_1,Control,0,223.145,EXP,EXP_1,Model1_103,Model1,Synthetic Models,16.34,Treatment_A_Control_1
Synthetic_Set_1,Control,4,445.782,EXP,EXP_1,Model1_103,Model1,Synthetic Models,16.21,Treatment_A_Control_1
Synthetic_Set_1,Control,8,523.891,EXP,EXP_1,Model1_103,Model1,Synthetic Models,15.98,Treatment_A_Control_1
Synthetic_Set_1,Control,12,478.234,EXP,EXP_1,Model1_103,Model1,Synthetic Models,16.02,Treatment_A_Control_1
Synthetic_Set_1,Control,15,556.782,EXP,EXP_1,Model1_103,Model1,Synthetic Models,15.67,Treatment_A_Control_1
Synthetic_Set_1,Control,18,612.345,EXP,EXP_1,Model1_103,Model1,Synthetic Models,15.42,Treatment_A_Control_1
Synthetic_Set_1,Control,21,734.567,EXP,EXP_1,Model1_103,Model1,Synthetic Models,15.23,Treatment_A_Control_1
Synthetic_Set_1,Control,25,891.234,EXP,EXP_1,Model1_103,Model1,Synthetic Models,15.18,Treatment_A_Control_1
Synthetic_Set_1,Treatment_A,0,198.756,EXP,EXP_1,Model1_107,Model1,Synthetic Models,17.89,Treatment_A_Control_2
Synthetic_Set_1,Treatment_A,4,367.234,EXP,EXP_1,Model1_107,Model1,Synthetic Models,18.34,Treatment_A_Control_2
Synthetic_Set_1,Treatment_A,8,434.567,EXP,EXP_1,Model1_107,Model1,Synthetic Models,18.12,Treatment_A_Control_2
Synthetic_Set_1,Treatment_A,12,498.891,EXP,EXP_1,Model1_107,Model1,Synthetic Models,17.89,Treatment_A_Control_2
Synthetic_Set_1,Treatment_A,15,643.234,EXP,EXP_1,Model1_107,Model1,Synthetic Models,18.23,Treatment_A_Control_2
Synthetic_Set_1,Treatment_A,18,812.456,EXP,EXP_1,Model1_107,Model1,Synthetic Models,18.11,Treatment_A_Control_2
Synthetic_Set_1,Treatment_A,21,1098.567,EXP,EXP_1,Model1_107,Model1,Synthetic Models,17.76,Treatment_A_Control_2
Synthetic_Set_1,Treatment_A,25,1289.234,EXP,EXP_1,Model1_107,Model1,Synthetic Models,17.82,Treatment_A_Control_2
Synthetic_Set_1,Control,0,254.678,EXP,EXP_1,Model1_109,Model1,Synthetic Models,15.12,Treatment_A_Control_2
Synthetic_Set_1,Control,4,441.234,EXP,EXP_1,Model1_109,Model1,Synthetic Models,15.67,Treatment_A_Control_2
Synthetic_Set_1,Control,8,623.456,EXP,EXP_1,Model1_109,Model1,Synthetic Models,15.89,Treatment_A_Control_2
Synthetic_Set_1,Control,12,967.891,EXP,EXP_1,Model1_109,Model1,Synthetic Models,15.63,Treatment_A_Control_2
Synthetic_Set_1,Control,15,1312.345,EXP,EXP_1,Model1_109,Model1,Synthetic Models,14.78,Treatment_A_Control_2
Synthetic_Set_1,Control,18,1534.567,EXP,EXP_1,Model1_109,Model1,Synthetic Models,14.89,Treatment_A_Control_2
Synthetic_Set_1,Control,21,1834.234,EXP,EXP_1,Model1_109,Model1,Synthetic Models,15.12,Treatment_A_Control_2
Synthetic_Set_1,Control,25,2567.891,EXP,EXP_1,Model1_109,Model1,Synthetic Models,15.03,Treatment_A_Control_2
Synthetic_Set_1,Control,0,512.345,EXP,EXP_1,Model1_110,Model1,Synthetic Models,16.23,Treatment_A_Control_3
Synthetic_Set_1,Control,4,767.891,EXP,EXP_1,Model1_110,Model1,Synthetic Models,16.78,Treatment_A_Control_3
Synthetic_Set_1,Control,8,1234.567,EXP,EXP_1,Model1_110,Model1,Synthetic Models,16.89,Treatment_A_Control_3
Synthetic_Set_1,Control,12,1445.234,EXP,EXP_1,Model1_110,Model1,Synthetic Models,16.67,Treatment_A_Control_3
Synthetic_Set_1,Control,15,1698.456,EXP,EXP_1,Model1_110,Model1,Synthetic Models,16.78,Treatment_A_Control_3
Synthetic_Set_1,Control,18,1656.789,EXP,EXP_1,Model1_110,Model1,Synthetic Models,16.82,Treatment_A_Control_3
Synthetic_Set_1,Control,21,2056.234,EXP,EXP_1,Model1_110,Model1,Synthetic Models,17.01,Treatment_A_Control_3
Synthetic_Set_1,Control,25,2934.567,EXP,EXP_1,Model1_110,Model1,Synthetic Models,16.94,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,0,207.891,EXP,EXP_1,Model1_117,Model1,Synthetic Models,16.89,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,4,467.234,EXP,EXP_1,Model1_117,Model1,Synthetic Models,17.45,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,8,812.567,EXP,EXP_1,Model1_117,Model1,Synthetic Models,16.98,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,12,1245.891,EXP,EXP_1,Model1_117,Model1,Synthetic Models,17.12,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,15,1834.234,EXP,EXP_1,Model1_117,Model1,Synthetic Models,16.89,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,18,2189.567,EXP,EXP_1,Model1_117,Model1,Synthetic Models,16.34,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,21,2745.891,EXP,EXP_1,Model1_117,Model1,Synthetic Models,16.56,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,25,4023.234,EXP,EXP_1,Model1_117,Model1,Synthetic Models,16.98,Treatment_A_Control_3
Synthetic_Set_1,Treatment_A,0,182.345,EXP,EXP_1,Model1_122,Model1,Synthetic Models,16.78,Treatment_A_Control_4
Synthetic_Set_1,Treatment_A,4,225.678,EXP,EXP_1,Model1_122,Model1,Synthetic Models,16.67,Treatment_A_Control_4
Synthetic_Set_1,Treatment_A,8,246.891,EXP,EXP_1,Model1_122,Model1,Synthetic Models,16.54,Treatment_A_Control_4
Synthetic_Set_1,Treatment_A,12,261.234,EXP,EXP_1,Model1_122,Model1,Synthetic Models,16.71,Treatment_A_Control_4
Synthetic_Set_1,Treatment_A,15,264.567,EXP,EXP_1,Model1_122,Model1,Synthetic Models,17.12,Treatment_A_Control_4
Synthetic_Set_1,Treatment_A,18,341.891,EXP,EXP_1,Model1_122,Model1,Synthetic Models,16.89,Treatment_A_Control_4
Synthetic_Set_1,Treatment_A,21,432.234,EXP,EXP_1,Model1_122,Model1,Synthetic Models,16.37,Treatment_A_Control_4
Synthetic_Set_1,Treatment_A,25,612.567,EXP,EXP_1,Model1_122,Model1,Synthetic Models,16.12,Treatment_A_Control_4
Synthetic_Set_1,Control,0,182.134,EXP,EXP_1,Model1_123,Model1,Synthetic Models,16.23,Treatment_A_Control_4
Synthetic_Set_1,Control,4,344.567,EXP,EXP_1,Model1_123,Model1,Synthetic Models,15.98,Treatment_A_Control_4
Synthetic_Set_1,Control,8,463.891,EXP,EXP_1,Model1_123,Model1,Synthetic Models,16.23,Treatment_A_Control_4
Synthetic_Set_1,Control,12,812.234,EXP,EXP_1,Model1_123,Model1,Synthetic Models,15.12,Treatment_A_Control_4
Synthetic_Set_1,Control,15,1184.567,EXP,EXP_1,Model1_123,Model1,Synthetic Models,14.78,Treatment_A_Control_4
Synthetic_Set_1,Control,18,1165.891,EXP,EXP_1,Model1_123,Model1,Synthetic Models,14.56,Treatment_A_Control_4
Synthetic_Set_1,Control,21,1545.234,EXP,EXP_1,Model1_123,Model1,Synthetic Models,13.98,Treatment_A_Control_4
Synthetic_Set_1,Control,25,2081.567,EXP,EXP_1,Model1_123,Model1,Synthetic Models,14.34,Treatment_A_Control_4
Synthetic_Set_1,Control,0,232.891,EXP,EXP_1,Model1_200,Model1,Synthetic Models,15.78,Treatment_A_Control_5
Synthetic_Set_1,Control,4,337.234,EXP,EXP_1,Model1_200,Model1,Synthetic Models,15.89,Treatment_A_Control_5
Synthetic_Set_1,Control,8,448.567,EXP,EXP_1,Model1_200,Model1,Synthetic Models,15.56,Treatment_A_Control_5
Synthetic_Set_1,Control,12,623.891,EXP,EXP_1,Model1_200,Model1,Synthetic Models,16.34,Treatment_A_Control_5
Synthetic_Set_1,Control,15,795.234,EXP,EXP_1,Model1_200,Model1,Synthetic Models,14.98,Treatment_A_Control_5
Synthetic_Set_1,Control,18,839.567,EXP,EXP_1,Model1_200,Model1,Synthetic Models,14.87,Treatment_A_Control_5
Synthetic_Set_1,Control,21,1124.891,EXP,EXP_1,Model1_200,Model1,Synthetic Models,14.71,Treatment_A_Control_5
Synthetic_Set_1,Control,25,1514.234,EXP,EXP_1,Model1_200,Model1,Synthetic Models,14.34,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,0,273.567,EXP,EXP_2,Model2_254,Model2,Synthetic Models,17.12,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,3,485.891,EXP,EXP_2,Model2_254,Model2,Synthetic Models,17.56,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,7,514.234,EXP,EXP_2,Model2_254,Model2,Synthetic Models,16.45,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,10,678.567,EXP,EXP_2,Model2_254,Model2,Synthetic Models,16.34,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,14,622.891,EXP,EXP_2,Model2_254,Model2,Synthetic Models,16.01,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,17,478.234,EXP,EXP_2,Model2_254,Model2,Synthetic Models,15.47,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,21,576.567,EXP,EXP_2,Model2_254,Model2,Synthetic Models,15.29,Treatment_A_Control_5
Synthetic_Set_1,Treatment_A,0,386.234,EXP,EXP_2,Model2_255,Model2,Synthetic Models,15.12,Treatment_A_Control_6
Synthetic_Set_1,Treatment_A,3,603.567,EXP,EXP_2,Model2_255,Model2,Synthetic Models,14.78,Treatment_A_Control_6
Synthetic_Set_1,Treatment_A,7,925.891,EXP,EXP_2,Model2_255,Model2,Synthetic Models,14.34,Treatment_A_Control_6
Synthetic_Set_1,Treatment_A,10,862.234,EXP,EXP_2,Model2_255,Model2,Synthetic Models,14.67,Treatment_A_Control_6
Synthetic_Set_1,Treatment_A,14,848.567,EXP,EXP_2,Model2_255,Model2,Synthetic Models,14.21,Treatment_A_Control_6
Synthetic_Set_1,Treatment_A,17,849.891,EXP,EXP_2,Model2_255,Model2,Synthetic Models,14.34,Treatment_A_Control_6
Synthetic_Set_1,Treatment_A,21,1039.234,EXP,EXP_2,Model2_255,Model2,Synthetic Models,14.23,Treatment_A_Control_6
Synthetic_Set_1,Control,0,284.567,EXP,EXP_2,Model2_376,Model2,Synthetic Models,15.01,Treatment_A_Control_6
Synthetic_Set_1,Control,3,431.891,EXP,EXP_2,Model2_376,Model2,Synthetic Models,14.64,Treatment_A_Control_6
Synthetic_Set_1,Control,7,784.234,EXP,EXP_2,Model2_376,Model2,Synthetic Models,14.45,Treatment_A_Control_6
Synthetic_Set_1,Control,10,859.567,EXP,EXP_2,Model2_376,Model2,Synthetic Models,14.31,Treatment_A_Control_6
Synthetic_Set_1,Control,14,1378.891,EXP,EXP_2,Model2_376,Model2,Synthetic Models,13.87,Treatment_A_Control_6
Synthetic_Set_1,Control,17,1849.234,EXP,EXP_2,Model2_376,Model2,Synthetic Models,13.85,Treatment_A_Control_6
Synthetic_Set_1,Control,21,2028.567,EXP,EXP_2,Model2_376,Model2,Synthetic Models,13.34,Treatment_A_Control_6
Synthetic_Set_1,Control,0,324.234,EXP,EXP_2,Model2_377,Model2,Synthetic Models,15.67,Treatment_A_Control_7
Synthetic_Set_1,Control,3,432.891,EXP,EXP_2,Model2_377,Model2,Synthetic Models,16.09,Treatment_A_Control_7
Synthetic_Set_1,Control,7,643.567,EXP,EXP_2,Model2_377,Model2,Synthetic Models,15.63,Treatment_A_Control_7
Synthetic_Set_1,Control,10,1074.234,EXP,EXP_2,Model2_377,Model2,Synthetic Models,15.58,Treatment_A_Control_7
Synthetic_Set_1,Control,14,1377.891,EXP,EXP_2,Model2_377,Model2,Synthetic Models,15.18,Treatment_A_Control_7
Synthetic_Set_1,Control,17,1484.567,EXP,EXP_2,Model2_377,Model2,Synthetic Models,15.07,Treatment_A_Control_7
Synthetic_Set_1,Control,21,2401.234,EXP,EXP_2,Model2_377,Model2,Synthetic Models,15.01,Treatment_A_Control_7
Synthetic_Set_1,Control,0,436.891,EXP,EXP_2,Model2_378,Model2,Synthetic Models,16.67,Treatment_A_Control_8
Synthetic_Set_1,Control,3,628.234,EXP,EXP_2,Model2_378,Model2,Synthetic Models,16.45,Treatment_A_Control_8
Synthetic_Set_1,Control,7,1059.567,EXP,EXP_2,Model2_378,Model2,Synthetic Models,15.94,Treatment_A_Control_8
Synthetic_Set_1,Control,10,1274.891,EXP,EXP_2,Model2_378,Model2,Synthetic Models,15.48,Treatment_A_Control_8
Synthetic_Set_1,Control,14,1341.234,EXP,EXP_2,Model2_378,Model2,Synthetic Models,14.89,Treatment_A_Control_8
